TWP_PCT,Biden,Trump,Hawkins,La Riva,Carroll,Jorgensen
Libertyville 169,442,342,3,0,0,21
Libertyville 170,556,341,4,2,0,10
Libertyville 171,561,331,1,0,2,15
Libertyville 172,684,365,2,0,1,18
Libertyville 173,515,390,4,0,2,15
Libertyville 174,410,396,2,0,1,10
Libertyville 175,545,212,5,3,3,9
Libertyville 176,594,439,2,0,3,24
Libertyville 177,524,274,4,0,8,12
Libertyville 178,509,289,3,2,0,14
Libertyville 179,577,363,4,1,1,16
Libertyville 180,294,266,0,0,0,7
Libertyville 181,539,427,3,2,0,10
Libertyville 182,503,301,4,0,1,18
Libertyville 183,550,324,6,0,1,15
Libertyville 184,495,285,2,0,6,17
Libertyville 185,630,325,6,0,0,9
Libertyville 186,638,327,3,0,5,10
Libertyville 187,594,293,3,0,2,16
Libertyville 188,513,229,5,3,3,11
Libertyville 189,572,244,9,1,2,6
Libertyville 190,661,292,10,0,0,9
Libertyville 191,460,241,5,0,0,5
Libertyville 192,661,366,3,2,2,10
Libertyville 193,271,195,0,0,1,10
Libertyville 194,335,214,2,0,2,4
Libertyville 195,623,257,6,1,1,6
Libertyville 196,247,157,0,0,0,9
Libertyville 197,457,294,4,1,1,6
Libertyville 198,406,250,3,0,0,7
Libertyville 199,330,200,1,0,1,10
Libertyville 200,532,251,1,0,2,4
Libertyville 201,267,231,1,0,0,7
Libertyville 202,114,74,0,0,1,1
Moraine 203,506,464,4,0,0,14
Moraine 204,986,319,4,0,1,10
Moraine 205,686,166,1,1,0,6
Moraine 206,715,211,3,0,0,6
Moraine 207,669,236,12,2,4,15
Moraine 208,707,200,3,1,0,10
Moraine 209,835,221,5,2,2,12
Moraine 210,828,200,5,0,1,14
Moraine 211,735,171,2,1,1,7
Moraine 212,820,191,5,2,0,10
Moraine 213,746,160,1,0,0,7
Moraine 214,717,158,2,0,1,12
Moraine 215,748,179,3,0,0,5
Moraine 216,676,117,0,0,0,6
Moraine 217,821,158,0,1,0,15
Moraine 218,661,122,0,0,0,5
Moraine 219,597,158,0,0,1,7
Moraine 220,733,178,0,0,1,8
Moraine 221,633,99,1,1,0,11
Moraine 222,693,115,1,0,0,13
Moraine 223,883,140,4,0,0,6
Moraine 224,591,108,3,0,0,8
Newport 225,306,355,3,2,1,8
Newport 226,231,220,2,1,0,4
Newport 227,282,393,3,0,1,10
Newport 228,907,346,5,2,1,6
Newport 229,376,426,5,2,1,12
Shields 230,404,58,3,0,0,2
Shields 231,785,50,3,1,2,4
Shields 232,374,60,2,0,0,9
Shields 233,92,25,0,1,1,1
Shields 234,378,136,1,2,0,10
Shields 235,402,277,3,0,1,6
Shields 236,319,212,2,0,1,6
Shields 237,649,370,5,0,2,22
Shields 238,473,270,3,0,4,7
Shields 239,469,520,1,1,1,13
Shields 240,507,295,5,0,0,9
Shields 241,696,343,3,1,0,22
Shields 242,318,307,0,0,0,10
Shields 243,725,594,4,1,2,14
Shields 244,442,336,2,0,0,5
Shields 245,369,346,2,0,0,11
Shields 246,387,267,1,0,0,4
Vernon 247,479,260,8,0,3,10
Vernon 248,614,236,4,2,6,5
Vernon 249,628,283,4,0,0,13
Vernon 250,608,265,8,0,2,5
Vernon 251,615,361,2,0,2,21
Vernon 252,547,556,1,0,1,14
Vernon 253,472,298,2,2,0,10
Vernon 254,418,248,6,0,1,7
Vernon 255,531,257,0,0,1,10
Vernon 256,398,223,1,1,2,4
Vernon 257,480,222,4,2,0,8
Vernon 258,694,279,3,1,4,11
Vernon 259,953,457,1,1,3,14
Vernon 260,396,255,1,0,0,11
Vernon 261,573,277,2,0,4,8
Vernon 262,537,233,5,0,0,10
Vernon 263,487,313,4,0,2,10
Vernon 264,613,298,2,0,0,9
Vernon 265,328,236,4,1,2,10
Vernon 266,591,249,2,0,2,10
Vernon 267,719,241,4,1,0,7
Vernon 268,996,422,7,0,2,9
Vernon 269,629,375,6,0,0,11
Vernon 270,458,261,3,1,1,13
Vernon 271,344,303,0,0,0,14
Vernon 272,506,223,4,0,1,6
Vernon 273,755,256,3,0,0,6
Vernon 274,553,207,1,0,0,9
Vernon 275,718,267,6,0,3,8
Vernon 276,545,171,1,0,0,10
Vernon 277,582,252,7,0,1,14
Vernon 278,512,209,1,0,0,4
Vernon 279,592,306,1,0,0,7
Vernon 280,646,182,1,1,0,4
Vernon 281,578,341,3,2,0,13
Vernon 282,461,230,4,0,2,9
Vernon 283,500,236,2,2,3,10
Vernon 284,446,302,0,0,0,3
Vernon 285,515,317,3,0,3,0
Vernon 286,669,396,4,3,0,11
Vernon 287,666,338,3,0,0,6
Warren 288,463,464,3,0,0,10
Warren 289,420,318,3,1,1,14
Warren 290,325,177,3,0,1,12
Warren 291,323,212,3,0,1,7
Warren 292,573,360,6,0,4,13
Warren 293,645,360,3,1,3,15
Warren 294,447,228,1,0,1,15
Warren 295,508,245,3,0,2,14
Warren 296,463,184,4,1,3,5
Warren 297,590,307,3,2,5,18
Warren 298,641,367,6,0,1,8
Warren 299,437,157,2,1,1,8
Warren 300,429,169,3,1,0,13
Warren 301,449,231,9,3,2,7
Warren 302,300,205,2,0,1,5
Warren 303,319,223,9,2,1,3
Warren 304,325,240,6,2,1,6
Warren 305,514,319,4,1,0,9
Warren 306,589,312,2,3,0,9
Warren 307,439,241,1,2,2,6
Warren 308,505,383,3,2,2,6
Warren 309,570,300,0,0,0,9
Warren 310,559,422,2,0,2,13
Warren 311,451,323,5,0,1,24
Warren 312,579,350,4,1,2,11
Warren 313,580,275,5,1,4,7
Warren 314,361,241,3,0,3,11
Warren 315,545,450,5,0,2,20
Warren 316,480,387,10,4,6,21
